,0,1
0,"(0, 0)","(0, 1)"
1,"(0, 0)","(0, 2)"
2,"(0, 1)","(0, 3)"
3,"(0, 3)","(1, 3)"
4,"(0, 3)","(2, 3)"
5,"(1, 3)","(1, 4)"
6,"(1, 3)","(1, 5)"
7,"(1, 3)","(1, 6)"
8,"(1, 3)","(1, 7)"
9,"(2, 3)","(4, 3)"
10,"(2, 3)","(5, 3)"
11,"(5, 1)","(3, 1)"
12,"(4, 3)","(3, 3)"
13,"(4, 1)","(7, 1)"
14,"(4, 3)","(4, 1)"
15,"(4, 3)","(4, 4)"
16,"(4, 3)","(4, 6)"
17,"(4, 3)","(4, 7)"
18,"(4, 7)","(7, 7)"
19,"(5, 3)","(5, 1)"
20,"(5, 6)","(5, 2)"
21,"(5, 3)","(7, 3)"
22,"(5, 3)","(5, 4)"
23,"(5, 3)","(5, 5)"
24,"(5, 3)","(5, 6)"
25,"(5, 3)","(5, 7)"
26,"(5, 4)","(7, 4)"
27,"(5, 6)","(7, 6)"
