,0,1
0,"(2, 7)","(4, 7)"
1,"(0, 5)","(0, 7)"
2,"(2, 6)","(5, 6)"
3,"(2, 6)","(4, 6)"
4,"(2, 6)","(6, 6)"
5,"(0, 6)","(2, 6)"
6,"(0, 6)","(1, 6)"
7,"(1, 6)","(1, 7)"
8,"(2, 5)","(2, 7)"
9,"(2, 5)","(4, 5)"
10,"(2, 5)","(2, 3)"
11,"(0, 5)","(2, 5)"
12,"(2, 5)","(6, 5)"
13,"(3, 2)","(7, 2)"
14,"(7, 2)","(7, 4)"
15,"(1, 2)","(3, 2)"
16,"(0, 2)","(1, 2)"
17,"(2, 7)","(6, 7)"
18,"(6, 7)","(7, 7)"
19,"(0, 5)","(1, 5)"
20,"(2, 7)","(5, 7)"
21,"(2, 7)","(2, 4)"
22,"(0, 0)","(0, 2)"
23,"(0, 2)","(0, 4)"
24,"(1, 7)","(1, 4)"
25,"(0, 2)","(0, 6)"
26,"(0, 2)","(0, 5)"
