,0,1
0,"(4, 6)","(4, 7)"
1,"(6, 2)","(6, 4)"
2,"(5, 2)","(5, 4)"
3,"(0, 6)","(0, 7)"
4,"(5, 6)","(2, 6)"
5,"(5, 6)","(5, 7)"
6,"(3, 6)","(5, 6)"
7,"(5, 6)","(5, 2)"
8,"(2, 6)","(2, 7)"
9,"(1, 6)","(0, 6)"
10,"(3, 6)","(1, 6)"
11,"(2, 7)","(2, 5)"
12,"(5, 2)","(7, 2)"
13,"(6, 6)","(6, 7)"
14,"(3, 3)","(3, 6)"
15,"(2, 2)","(2, 0)"
16,"(3, 6)","(7, 6)"
17,"(4, 2)","(4, 4)"
18,"(3, 6)","(4, 6)"
19,"(3, 6)","(6, 6)"
20,"(5, 2)","(2, 2)"
21,"(5, 7)","(5, 5)"
22,"(2, 7)","(2, 4)"
23,"(0, 2)","(0, 0)"
24,"(6, 6)","(6, 2)"
25,"(4, 6)","(4, 2)"
26,"(0, 6)","(0, 2)"
27,"(0, 2)","(0, 5)"
