,0,1
0,"(3, 7)","(1, 7)"
1,"(5, 7)","(3, 7)"
2,"(3, 7)","(3, 4)"
3,"(7, 2)","(7, 4)"
4,"(7, 4)","(6, 4)"
5,"(7, 4)","(7, 3)"
6,"(4, 2)","(4, 6)"
7,"(2, 5)","(4, 5)"
8,"(7, 2)","(7, 0)"
9,"(7, 0)","(7, 1)"
10,"(7, 0)","(5, 0)"
11,"(6, 5)","(7, 5)"
12,"(6, 5)","(6, 3)"
13,"(2, 5)","(6, 5)"
14,"(6, 5)","(3, 5)"
15,"(3, 5)","(1, 5)"
16,"(2, 7)","(5, 7)"
17,"(2, 7)","(4, 7)"
18,"(2, 5)","(2, 7)"
19,"(7, 2)","(7, 6)"
20,"(0, 0)","(0, 2)"
21,"(0, 2)","(2, 2)"
22,"(4, 2)","(4, 4)"
23,"(2, 2)","(2, 5)"
24,"(2, 2)","(4, 2)"
25,"(5, 7)","(7, 7)"
26,"(3, 5)","(5, 5)"
27,"(4, 2)","(7, 2)"
28,"(5, 7)","(5, 4)"
29,"(4, 2)","(4, 0)"
30,"(4, 7)","(4, 3)"
