,0,1
0,"(3, 3)","(3, 7)"
1,"(3, 7)","(1, 7)"
2,"(3, 7)","(5, 7)"
3,"(6, 0)","(7, 0)"
4,"(6, 5)","(6, 2)"
5,"(6, 5)","(7, 5)"
6,"(6, 3)","(6, 5)"
7,"(6, 5)","(2, 5)"
8,"(6, 1)","(6, 0)"
9,"(6, 3)","(6, 1)"
10,"(6, 1)","(7, 1)"
11,"(1, 7)","(1, 5)"
12,"(3, 3)","(6, 3)"
13,"(6, 3)","(2, 3)"
14,"(6, 3)","(6, 4)"
15,"(6, 3)","(6, 6)"
16,"(2, 5)","(2, 2)"
17,"(2, 2)","(4, 2)"
18,"(1, 7)","(1, 4)"
19,"(6, 6)","(2, 6)"
20,"(0, 7)","(0, 5)"
21,"(1, 7)","(0, 7)"
22,"(5, 7)","(5, 4)"
23,"(5, 4)","(2, 4)"
24,"(2, 5)","(5, 5)"
25,"(6, 0)","(2, 0)"
