,0,1
0,"(3, 7)","(4, 7)"
1,"(6, 4)","(6, 3)"
2,"(3, 4)","(6, 4)"
3,"(3, 4)","(5, 4)"
4,"(5, 4)","(5, 7)"
5,"(1, 2)","(1, 6)"
6,"(1, 6)","(1, 7)"
7,"(3, 7)","(7, 7)"
8,"(3, 5)","(3, 7)"
9,"(1, 2)","(3, 2)"
10,"(1, 2)","(1, 4)"
11,"(1, 2)","(1, 5)"
12,"(0, 2)","(1, 2)"
13,"(6, 5)","(6, 7)"
14,"(3, 4)","(3, 3)"
15,"(3, 6)","(7, 6)"
16,"(3, 2)","(3, 6)"
17,"(3, 6)","(6, 6)"
18,"(3, 2)","(3, 4)"
19,"(3, 2)","(6, 2)"
20,"(3, 2)","(3, 5)"
21,"(0, 0)","(0, 2)"
22,"(3, 5)","(4, 5)"
23,"(6, 2)","(6, 0)"
24,"(3, 5)","(7, 5)"
25,"(3, 5)","(6, 5)"
26,"(0, 2)","(0, 5)"
27,"(3, 4)","(7, 4)"
