,0,1
0,"(3, 6)","(3, 7)"
1,"(5, 4)","(7, 4)"
2,"(7, 4)","(4, 4)"
3,"(7, 6)","(4, 6)"
4,"(4, 6)","(4, 7)"
5,"(7, 2)","(7, 0)"
6,"(7, 5)","(6, 5)"
7,"(7, 5)","(7, 3)"
8,"(5, 2)","(7, 2)"
9,"(5, 2)","(5, 5)"
10,"(5, 2)","(5, 4)"
11,"(5, 0)","(5, 2)"
12,"(5, 2)","(5, 6)"
13,"(2, 5)","(2, 7)"
14,"(7, 2)","(7, 6)"
15,"(6, 4)","(6, 7)"
16,"(3, 6)","(1, 6)"
17,"(5, 6)","(3, 6)"
18,"(5, 0)","(5, 1)"
19,"(7, 5)","(7, 7)"
20,"(5, 5)","(7, 5)"
21,"(5, 5)","(3, 5)"
22,"(7, 2)","(4, 2)"
23,"(2, 4)","(2, 3)"
24,"(0, 0)","(2, 0)"
25,"(5, 4)","(2, 4)"
26,"(5, 5)","(5, 7)"
27,"(5, 5)","(2, 5)"
28,"(2, 4)","(6, 4)"
29,"(5, 6)","(2, 6)"
30,"(5, 6)","(5, 3)"
31,"(6, 4)","(3, 4)"
32,"(1, 6)","(1, 3)"
33,"(2, 0)","(5, 0)"
