,0,1
0,"(0, 0)","(0, 1)"
1,"(0, 1)","(1, 1)"
2,"(0, 1)","(0, 3)"
3,"(0, 3)","(2, 3)"
4,"(1, 4)","(0, 4)"
5,"(1, 1)","(3, 1)"
6,"(1, 1)","(1, 3)"
7,"(1, 3)","(3, 3)"
8,"(1, 3)","(1, 4)"
9,"(1, 3)","(1, 6)"
10,"(1, 3)","(1, 7)"
11,"(1, 6)","(3, 6)"
12,"(3, 1)","(4, 1)"
13,"(3, 1)","(5, 1)"
14,"(3, 3)","(4, 3)"
15,"(3, 3)","(5, 3)"
16,"(3, 3)","(6, 3)"
17,"(3, 3)","(7, 3)"
18,"(3, 3)","(3, 7)"
19,"(3, 7)","(4, 7)"
20,"(3, 7)","(5, 7)"
21,"(4, 1)","(7, 1)"
22,"(4, 3)","(4, 5)"
23,"(5, 3)","(5, 5)"
24,"(6, 3)","(6, 6)"
25,"(7, 3)","(7, 4)"
26,"(7, 3)","(7, 5)"
27,"(7, 3)","(7, 6)"
28,"(7, 3)","(7, 7)"
