,0,1
0,"(2, 7)","(4, 7)"
1,"(4, 7)","(7, 7)"
2,"(4, 7)","(3, 7)"
3,"(1, 7)","(1, 3)"
4,"(2, 4)","(6, 4)"
5,"(2, 4)","(5, 4)"
6,"(0, 7)","(1, 7)"
7,"(0, 5)","(0, 7)"
8,"(5, 3)","(5, 6)"
9,"(2, 6)","(4, 6)"
10,"(2, 6)","(6, 6)"
11,"(0, 6)","(2, 6)"
12,"(3, 7)","(3, 3)"
13,"(2, 5)","(2, 7)"
14,"(2, 5)","(5, 5)"
15,"(2, 5)","(4, 5)"
16,"(2, 5)","(2, 2)"
17,"(0, 5)","(2, 5)"
18,"(2, 5)","(6, 5)"
19,"(0, 6)","(0, 3)"
20,"(6, 5)","(6, 7)"
21,"(2, 2)","(4, 2)"
22,"(2, 7)","(5, 7)"
23,"(5, 5)","(5, 3)"
24,"(2, 7)","(2, 4)"
25,"(0, 0)","(0, 2)"
26,"(0, 2)","(0, 4)"
27,"(6, 5)","(7, 5)"
28,"(6, 5)","(6, 2)"
29,"(6, 5)","(3, 5)"
30,"(0, 2)","(0, 6)"
31,"(0, 2)","(0, 5)"
