,0,1
0,"(7, 5)","(7, 3)"
1,"(4, 5)","(4, 7)"
2,"(4, 7)","(7, 7)"
3,"(1, 5)","(1, 3)"
4,"(3, 4)","(6, 4)"
5,"(4, 0)","(3, 0)"
6,"(3, 4)","(5, 4)"
7,"(5, 0)","(5, 1)"
8,"(3, 5)","(3, 7)"
9,"(2, 5)","(2, 7)"
10,"(4, 5)","(2, 5)"
11,"(2, 5)","(2, 3)"
12,"(7, 2)","(6, 2)"
13,"(4, 2)","(7, 2)"
14,"(2, 0)","(4, 0)"
15,"(4, 0)","(4, 1)"
16,"(4, 0)","(7, 0)"
17,"(4, 0)","(4, 2)"
18,"(3, 5)","(3, 3)"
19,"(0, 0)","(2, 0)"
20,"(2, 0)","(6, 0)"
21,"(2, 0)","(5, 0)"
22,"(4, 4)","(7, 4)"
23,"(4, 2)","(4, 4)"
24,"(4, 4)","(3, 4)"
25,"(1, 5)","(1, 7)"
26,"(1, 5)","(0, 5)"
27,"(3, 5)","(1, 5)"
28,"(5, 5)","(5, 7)"
29,"(5, 5)","(5, 3)"
30,"(4, 1)","(3, 1)"
31,"(3, 5)","(3, 2)"
32,"(7, 0)","(7, 1)"
33,"(7, 1)","(6, 1)"
34,"(4, 5)","(7, 5)"
35,"(4, 5)","(4, 3)"
36,"(4, 2)","(4, 5)"
37,"(4, 5)","(3, 5)"
38,"(3, 5)","(5, 5)"
39,"(7, 5)","(6, 5)"
40,"(4, 2)","(4, 6)"
