,0,1
0,"(3, 5)","(3, 7)"
1,"(7, 4)","(6, 4)"
2,"(7, 4)","(5, 4)"
3,"(4, 4)","(7, 4)"
4,"(4, 6)","(3, 6)"
5,"(4, 6)","(7, 6)"
6,"(4, 6)","(2, 6)"
7,"(4, 6)","(4, 3)"
8,"(4, 2)","(4, 6)"
9,"(4, 2)","(4, 5)"
10,"(6, 5)","(7, 5)"
11,"(2, 5)","(6, 5)"
12,"(2, 2)","(6, 2)"
13,"(6, 0)","(6, 1)"
14,"(1, 5)","(3, 5)"
15,"(0, 5)","(1, 5)"
16,"(5, 3)","(7, 3)"
17,"(2, 7)","(5, 7)"
18,"(2, 5)","(2, 7)"
19,"(2, 7)","(6, 7)"
20,"(7, 6)","(6, 6)"
21,"(7, 6)","(7, 7)"
22,"(4, 3)","(3, 3)"
23,"(0, 0)","(0, 2)"
24,"(0, 2)","(0, 5)"
25,"(0, 2)","(2, 2)"
26,"(4, 4)","(4, 7)"
27,"(4, 4)","(3, 4)"
28,"(4, 2)","(4, 4)"
29,"(2, 3)","(6, 3)"
30,"(2, 2)","(2, 5)"
31,"(2, 2)","(4, 2)"
32,"(4, 2)","(7, 2)"
33,"(2, 5)","(2, 3)"
34,"(2, 3)","(5, 3)"
35,"(2, 5)","(5, 5)"
