,0,1
0,Zagreb,Belgrade
1,Amste...,Brussels
2,Munich,Berlin
3,Warsaw,Helsinki
4,Zagreb,Vienna
5,Berlin,Copen...
6,Barce...,Madrid
7,Warsaw,Krakow
8,Munich,Frank...
9,Helsinki,Oslo
10,Copen...,Oslo
11,Marse...,Lyon
12,Frank...,Stras...
13,Berlin,Hamburg
14,Zagreb,Athens
15,Frank...,Dusse...
16,Rome,Zagreb
17,Marse...,Rome
18,Glasgow,Dublin
19,Berlin,Warsaw
20,Marse...,Bordeaux
21,Milan,Zurich
22,Glasgow,Birmi...
23,Milan,Munich
24,Copen...,Stock...
25,Belgrade,Sofia
26,Amste...,Glasgow
27,Berlin,Prague
28,Rome,Milan
29,Rome,Palermo
30,Hamburg,Amste...
31,Barce...,Marse...
32,Belgrade,Budapest
