,0,1
0,Amste...,Brussels
1,Paris,Bordeaux
2,Warsaw,Helsinki
3,Berlin,Copen...
4,Madrid,Barce...
5,London,Birmi...
6,Stras...,Zurich
7,London,Lisbon
8,Warsaw,Krakow
9,Lisbon,Seville
10,London,Paris
11,Copen...,Oslo
12,Frank...,Stras...
13,Prague,Budapest
14,Lisbon,Madrid
15,Sofia,Athens
16,Hamburg,Berlin
17,Lyon,Zurich
18,Berlin,Warsaw
19,Amste...,London
20,Paris,Lyon
21,London,Dublin
22,Glasgow,Birmi...
23,Copen...,Stock...
24,Budapest,Belgrade
25,Belgrade,Sofia
26,Amste...,Glasgow
27,Berlin,Prague
28,Hamburg,Amste...
29,Frank...,Hamburg
