,0,1
0,Zagreb,Belgrade
1,Amste...,Brussels
2,Helsinki,Warsaw
3,Berlin,Copen...
4,London,Birmi...
5,Seville,Lisbon
6,London,Lisbon
7,Rome,Marse...
8,Berlin,Munich
9,Warsaw,Krakow
10,Lisbon,Seville
11,Munich,Frank...
12,Munich,Milan
13,London,Paris
14,Marse...,Lyon
15,Milan,Rome
16,Frank...,Stras...
17,Berlin,Hamburg
18,Zagreb,Athens
19,Marse...,Barce...
20,Frank...,Dusse...
21,Lisbon,Madrid
22,Warsaw,Berlin
23,Marse...,Bordeaux
24,Milan,Zurich
25,Vienna,Zagreb
26,Amste...,London
27,Munich,Vienna
28,London,Dublin
29,Belgrade,Sofia
30,Amste...,Glasgow
31,Vienna,Prague
32,Rome,Palermo
33,Hamburg,Amste...
34,Belgrade,Budapest
