,0,1
0,Zagreb,Belgrade
1,Paris,Bordeaux
2,Paris,London
3,Bordeaux,Madrid
4,Munich,Berlin
5,Warsaw,Helsinki
6,Berlin,Copen...
7,London,Birmi...
8,Stras...,Zurich
9,London,Lisbon
10,Warsaw,Krakow
11,Lisbon,Seville
12,Munich,Milan
13,Copen...,Oslo
14,Berlin,Hamburg
15,Prague,Budapest
16,Birmi...,Glasgow
17,Frank...,Dusse...
18,Frank...,Munich
19,Dublin,Glasgow
20,London,Amste...
21,Berlin,Warsaw
22,Vienna,Zagreb
23,Paris,Stras...
24,Munich,Vienna
25,London,Dublin
26,Copen...,Stock...
27,Belgrade,Sofia
28,Berlin,Prague
29,Stras...,Frank...
