,0,1
0,Amste...,Hamburg
1,Zagreb,Athens
2,Marse...,Barce...
3,Barce...,Seville
4,Budapest,Belgrade
5,Belgrade,Sofia
6,Berlin,Copen...
7,Hamburg,Berlin
8,Berlin,Munich
9,Berlin,Prague
10,Berlin,Warsaw
11,Marse...,Bordeaux
12,Budapest,Krakow
13,Prague,Budapest
14,Copen...,Oslo
15,Copen...,Stock...
16,Frank...,Dusse...
17,Hamburg,Frank...
18,Frank...,Stras...
19,Warsaw,Helsinki
20,Marse...,Lyon
21,Rome,Marse...
22,Marse...,Rome
23,Munich,Milan
24,Milan,Rome
25,Milan,Zurich
26,Rome,Palermo
27,Prague,Vienna
28,Vienna,Zagreb
