,0,1
0,Brussels,Amste...
1,Amste...,Brussels
2,Amste...,Glasgow
3,Hamburg,Amste...
4,Zagreb,Athens
5,Barce...,Marse...
6,Belgrade,Budapest
7,Belgrade,Sofia
8,Zagreb,Belgrade
9,Berlin,Copen...
10,Berlin,Hamburg
11,Munich,Berlin
12,Berlin,Prague
13,Berlin,Warsaw
14,Marse...,Bordeaux
15,Copen...,Oslo
16,Copen...,Stock...
17,Frank...,Dusse...
18,Munich,Frank...
19,Warsaw,Helsinki
20,Warsaw,Krakow
21,Marse...,Lyon
22,Marse...,Rome
23,Milan,Munich
24,Rome,Milan
25,Milan,Zurich
26,Rome,Palermo
27,Rome,Zagreb
28,Zurich,Stras...
29,Zagreb,Vienna
