,0,1
0,Amste...,Brussels
1,Amste...,Glasgow
2,Hamburg,Amste...
3,Amste...,London
4,Sofia,Athens
5,Athens,Zagreb
6,Madrid,Barce...
7,Budapest,Belgrade
8,Belgrade,Sofia
9,Copen...,Berlin
10,Berlin,Hamburg
11,Berlin,Prague
12,Berlin,Warsaw
13,London,Birmi...
14,Paris,Bordeaux
15,Brussels,Dusse...
16,Budapest,Krakow
17,Prague,Budapest
18,Copen...,Oslo
19,London,Dublin
20,Warsaw,Helsinki
21,London,Lisbon
22,Lisbon,Madrid
23,Lisbon,Seville
24,London,Paris
25,Paris,Lyon
26,Paris,Stras...
27,Prague,Vienna
