,0,1
0,Amste...,Glasgow
1,Hamburg,Amste...
2,Zagreb,Athens
3,Budapest,Belgrade
4,Belgrade,Budapest
5,Belgrade,Sofia
6,Zagreb,Belgrade
7,Berlin,Copen...
8,Berlin,Hamburg
9,Munich,Berlin
10,Berlin,Prague
11,Berlin,Warsaw
12,Glasgow,Birmi...
13,Copen...,Oslo
14,Copen...,Stock...
15,Glasgow,Dublin
16,Frank...,Dusse...
17,Munich,Frank...
18,Warsaw,Helsinki
19,Warsaw,Krakow
20,Marse...,Rome
21,Milan,Munich
22,Rome,Milan
23,Milan,Zurich
24,Munich,Vienna
25,Rome,Palermo
26,Rome,Zagreb
27,Zurich,Stras...
