,0,1
0,Brussels,Amste...
1,Hamburg,Amste...
2,Barce...,Madrid
3,Marse...,Barce...
4,Barce...,Seville
5,Budapest,Belgrade
6,Berlin,Copen...
7,Berlin,Hamburg
8,Munich,Berlin
9,Berlin,Prague
10,Berlin,Warsaw
11,London,Birmi...
12,Marse...,Bordeaux
13,Brussels,Dusse...
14,Paris,Brussels
15,Prague,Budapest
16,Copen...,Oslo
17,Copen...,Stock...
18,Dublin,Glasgow
19,London,Dublin
20,Frank...,Dusse...
21,Stras...,Frank...
22,Oslo,Helsinki
23,Helsinki,Oslo
24,Stock...,Helsinki
25,Helsinki,Stock...
26,Warsaw,Krakow
27,London,Lisbon
28,Paris,London
29,Marse...,Lyon
30,Lyon,Paris
31,Rome,Marse...
32,Milan,Munich
33,Rome,Milan
34,Milan,Zurich
35,Munich,Vienna
36,Palermo,Rome
37,Paris,Stras...
38,Rome,Zagreb
