,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Kempten,Muenchen
3,Stutt...,Ulm
4,Trier,Saarb...
5,Karls...,Stutt...
6,Wesel,Olden...
7,Wesel,Norden
8,Stutt...,Konstanz
9,Hannover,Hamburg
10,Aachen,Trier
11,Saarb...,Karls...
12,Flens...,Kiel
13,Olden...,Bremen
14,Ulm,Augsburg
15,Bremen,Hannover
16,Wesel,Essen
17,Aachen,Wesel
18,Breme...,Flens...
19,Karls...,Mannheim
20,Konstanz,Kempten
21,Schwerin,Greif...
22,Olden...,Osnab...
23,Hamburg,Schwerin
24,Mannheim,Darms...
25,Karls...,Freiburg
26,Bremen,Breme...
