,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Chemnitz,Bayreuth
3,Erfurt,Leipzig
4,Braun...,Hamburg
5,Karls...,Saarb...
6,Dortmund,Essen
7,Erfurt,Chemnitz
8,Hannover,Bremen
9,Kiel,Flens...
10,Saarb...,Trier
11,Wesel,Olden...
12,Wesel,Norden
13,Stutt...,Konstanz
14,Aachen,Koeln
15,Karls...,Kaise...
16,Essen,Wesel
17,Wesel,Aachen
18,Erfurt,Kassel
19,Augsburg,Wuerz...
20,Schwerin,Berlin
21,Erfurt,Dresden
22,Braun...,Hannover
23,Stutt...,Karls...
24,Wuerz...,Stutt...
25,Kassel,Braun...
26,Kassel,Dortmund
27,Karls...,Mannheim
28,Hannover,Osnab...
29,Konstanz,Kempten
30,Schwerin,Greif...
31,Wuerz...,Erfurt
32,Hamburg,Schwerin
33,Karls...,Freiburg
34,Bremen,Breme...
35,Hamburg,Kiel
