,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Braun...,Biele...
3,Bayreuth,Chemnitz
4,Kassel,Giessen
5,Braun...,Hamburg
6,Karls...,Saarb...
7,Frank...,Darms...
8,Bremen,Olden...
9,Dortmund,Siegen
10,Dortmund,Essen
11,Stutt...,Ulm
12,Erfurt,Wuerz...
13,Hannover,Bremen
14,Kiel,Flens...
15,Koblenz,Kaise...
16,Wesel,Norden
17,Stutt...,Konstanz
18,Kassel,Fulda
19,Braun...,Magde...
20,Koblenz,Trier
21,Dortmund,Muenster
22,Essen,Wesel
23,Wesel,Aachen
24,Erfurt,Kassel
25,Siegen,Koblenz
26,Wuerz...,Augsburg
27,Schwerin,Berlin
28,Erfurt,Dresden
29,Braun...,Hannover
30,Stutt...,Karls...
31,Wuerz...,Stutt...
32,Kassel,Braun...
33,Koblenz,Koeln
34,Kassel,Dortmund
35,Karls...,Mannheim
36,Chemnitz,Erfurt
37,Leipzig,Erfurt
38,Hannover,Osnab...
39,Konstanz,Kempten
40,Augsburg,Muenchen
41,Schwerin,Greif...
42,Giessen,Frank...
43,Hamburg,Schwerin
44,Karls...,Freiburg
45,Bremen,Breme...
46,Hamburg,Kiel
