,0,1
0,Braun...,Biele...
1,Biele...,Siegen
2,Olden...,Norden
3,Braun...,Hamburg
4,Koblenz,Frank...
5,Bremen,Olden...
6,Siegen,Giessen
7,Trier,Saarb...
8,Hannover,Bremen
9,Koblenz,Kaise...
10,Berlin,Magde...
11,Berlin,Greif...
12,Koblenz,Trier
13,Koeln,Duess...
14,Siegen,Koblenz
15,Biele...,Muenster
16,Breme...,Flens...
17,Braun...,Hannover
18,Magde...,Braun...
19,Kaise...,Karls...
20,Kaise...,Darms...
21,Koblenz,Koeln
22,Koeln,Aachen
23,Hannover,Osnab...
24,Darms...,Mannheim
25,Karls...,Freiburg
26,Bremen,Breme...
