,0,1
0,Muenchen,Passau
1,Schwerin,Kiel
2,Bayreuth,Chemnitz
3,Biele...,Siegen
4,Braun...,Hamburg
5,Magde...,Schwerin
6,Kiel,Flens...
7,Nuern...,Muenchen
8,Koblenz,Kaise...
9,Biele...,Braun...
10,Muenchen,Kempten
11,Braun...,Magde...
12,Koblenz,Trier
13,Flens...,Breme...
14,Koeln,Duess...
15,Siegen,Koblenz
16,Leipzig,Bayreuth
17,Schwerin,Berlin
18,Kaise...,Saarb...
19,Bayreuth,Nuern...
20,Kaise...,Karls...
21,Kaise...,Darms...
22,Koblenz,Koeln
23,Koeln,Aachen
24,Schwerin,Greif...
25,Darms...,Mannheim
26,Karls...,Freiburg
27,Magde...,Leipzig
