,0,1
0,Muenchen,Passau
1,Schwerin,Kiel
2,Braun...,Biele...
3,Biele...,Siegen
4,Olden...,Norden
5,Magde...,Schwerin
6,Muenster,Osnab...
7,Karls...,Saarb...
8,Kiel,Flens...
9,Nuern...,Muenchen
10,Koblenz,Kaise...
11,Magde...,Berlin
12,Osnab...,Olden...
13,Muenchen,Kempten
14,Braun...,Magde...
15,Koblenz,Trier
16,Flens...,Breme...
17,Koeln,Duess...
18,Siegen,Koblenz
19,Biele...,Muenster
20,Leipzig,Bayreuth
21,Bayreuth,Nuern...
22,Kaise...,Karls...
23,Kaise...,Darms...
24,Koblenz,Koeln
25,Koeln,Aachen
26,Karls...,Mannheim
27,Schwerin,Greif...
28,Karls...,Freiburg
29,Magde...,Leipzig
