,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Breme...,Bremen
3,Olden...,Norden
4,Fulda,Wuerz...
5,Karls...,Saarb...
6,Frank...,Darms...
7,Bremen,Olden...
8,Dortmund,Essen
9,Erfurt,Chemnitz
10,Stutt...,Ulm
11,Muenchen,Regen...
12,Stutt...,Konstanz
13,Hannover,Hamburg
14,Hannover,Braun...
15,Aachen,Koeln
16,Kassel,Fulda
17,Aachen,Trier
18,Muenchen,Kempten
19,Fulda,Frank...
20,Bremen,Hannover
21,Wesel,Aachen
22,Fulda,Giessen
23,Kassel,Erfurt
24,Wuerz...,Augsburg
25,Braun...,Kassel
26,Stutt...,Karls...
27,Wuerz...,Stutt...
28,Kassel,Dortmund
29,Karls...,Mannheim
30,Wuerz...,Nuern...
31,Augsburg,Muenchen
32,Schwerin,Greif...
33,Hamburg,Schwerin
34,Karls...,Freiburg
35,Darms...,Kaise...
36,Olden...,Wesel
37,Hamburg,Kiel
