,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Braun...,Biele...
3,Fulda,Wuerz...
4,Erfurt,Leipzig
5,Karls...,Saarb...
6,Nuern...,Regen...
7,Frank...,Darms...
8,Dortmund,Siegen
9,Dortmund,Essen
10,Erfurt,Chemnitz
11,Stutt...,Ulm
12,Kiel,Flens...
13,Frank...,Koblenz
14,Nuern...,Muenchen
15,Stutt...,Konstanz
16,Hannover,Hamburg
17,Magde...,Berlin
18,Hannover,Braun...
19,Kassel,Fulda
20,Trier,Aachen
21,Muenchen,Kempten
22,Fulda,Frank...
23,Berlin,Greif...
24,Karls...,Kaise...
25,Braun...,Magde...
26,Koblenz,Trier
27,Dortmund,Muenster
28,Bremen,Hannover
29,Fulda,Giessen
30,Kassel,Erfurt
31,Wuerz...,Augsburg
32,Schwerin,Berlin
33,Braun...,Kassel
34,Erfurt,Dresden
35,Stutt...,Karls...
36,Wuerz...,Stutt...
37,Koblenz,Koeln
38,Kassel,Dortmund
39,Karls...,Mannheim
40,Wuerz...,Nuern...
41,Hannover,Osnab...
42,Schwerin,Greif...
43,Nuern...,Bayreuth
44,Hamburg,Schwerin
45,Karls...,Freiburg
46,Hamburg,Kiel
