,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Kassel,Giessen
3,Braun...,Hamburg
4,Regen...,Nuern...
5,Karls...,Saarb...
6,Frank...,Darms...
7,Bremen,Olden...
8,Dortmund,Siegen
9,Dortmund,Essen
10,Erfurt,Wuerz...
11,Augsburg,Ulm
12,Hannover,Bremen
13,Kiel,Flens...
14,Muenchen,Regen...
15,Wesel,Norden
16,Stutt...,Konstanz
17,Hannover,Biele...
18,Muenchen,Kempten
19,Berlin,Greif...
20,Karls...,Kaise...
21,Braun...,Magde...
22,Koblenz,Trier
23,Dortmund,Muenster
24,Essen,Wesel
25,Wesel,Aachen
26,Erfurt,Kassel
27,Siegen,Koblenz
28,Wuerz...,Augsburg
29,Schwerin,Berlin
30,Braun...,Hannover
31,Stutt...,Karls...
32,Wuerz...,Stutt...
33,Kassel,Braun...
34,Koblenz,Koeln
35,Kassel,Dortmund
36,Karls...,Mannheim
37,Chemnitz,Erfurt
38,Hannover,Osnab...
39,Frank...,Fulda
40,Augsburg,Muenchen
41,Schwerin,Greif...
42,Giessen,Frank...
43,Hamburg,Schwerin
44,Karls...,Freiburg
45,Bremen,Breme...
46,Hamburg,Kiel
