,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Fulda,Kassel
3,Schwerin,Magde...
4,Fulda,Wuerz...
5,Erfurt,Leipzig
6,Kassel,Giessen
7,Braun...,Hamburg
8,Nuern...,Regen...
9,Dortmund,Siegen
10,Dortmund,Essen
11,Erfurt,Chemnitz
12,Stutt...,Ulm
13,Trier,Saarb...
14,Hannover,Bremen
15,Kiel,Flens...
16,Nuern...,Muenchen
17,Wesel,Olden...
18,Wesel,Norden
19,Stutt...,Konstanz
20,Hannover,Biele...
21,Aachen,Trier
22,Duess...,Koeln
23,Muenchen,Kempten
24,Konstanz,Freiburg
25,Dortmund,Muenster
26,Essen,Wesel
27,Wesel,Aachen
28,Kassel,Erfurt
29,Muenchen,Augsburg
30,Schwerin,Berlin
31,Erfurt,Dresden
32,Braun...,Hannover
33,Darms...,Frank...
34,Wuerz...,Stutt...
35,Kassel,Braun...
36,Kassel,Dortmund
37,Wuerz...,Nuern...
38,Hannover,Osnab...
39,Frank...,Fulda
40,Schwerin,Greif...
41,Nuern...,Bayreuth
42,Hamburg,Schwerin
43,Bremen,Breme...
44,Hamburg,Kiel
