,0,1
0,Erfurt,Leipzig
1,Karls...,Saarb...
2,Nuern...,Regen...
3,Erfurt,Chemnitz
4,Stutt...,Ulm
5,Erfurt,Wuerz...
6,Essen,Dortmund
7,Wesel,Olden...
8,Wesel,Norden
9,Stutt...,Konstanz
10,Berlin,Greif...
11,Duess...,Essen
12,Dortmund,Kassel
13,Konstanz,Freiburg
14,Olden...,Bremen
15,Dortmund,Muenster
16,Essen,Wesel
17,Wesel,Aachen
18,Kassel,Erfurt
19,Regen...,Passau
20,Breme...,Flens...
21,Erfurt,Dresden
22,Stutt...,Karls...
23,Wuerz...,Stutt...
24,Karls...,Mannheim
25,Wuerz...,Nuern...
26,Konstanz,Kempten
27,Nuern...,Bayreuth
28,Olden...,Osnab...
29,Dresden,Berlin
30,Bremen,Breme...
31,Leipzig,Berlin
