,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Chemnitz,Bayreuth
3,Kassel,Giessen
4,Braun...,Hamburg
5,Frank...,Darms...
6,Dortmund,Siegen
7,Dortmund,Essen
8,Erfurt,Chemnitz
9,Hannover,Bremen
10,Kiel,Flens...
11,Wesel,Olden...
12,Koblenz,Kaise...
13,Wesel,Norden
14,Hannover,Hamburg
15,Aachen,Trier
16,Duess...,Koeln
17,Braun...,Magde...
18,Dortmund,Muenster
19,Essen,Wesel
20,Wesel,Aachen
21,Erfurt,Kassel
22,Siegen,Koblenz
23,Hamburg,Hannover
24,Braun...,Hannover
25,Kassel,Braun...
26,Kassel,Dortmund
27,Hannover,Osnab...
28,Schwerin,Greif...
29,Giessen,Frank...
30,Hamburg,Schwerin
31,Bremen,Breme...
32,Hamburg,Kiel
