,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Braun...,Biele...
3,Norden,Olden...
4,Fulda,Wuerz...
5,Erfurt,Leipzig
6,Kassel,Giessen
7,Muenster,Osnab...
8,Karls...,Saarb...
9,Nuern...,Regen...
10,Frank...,Darms...
11,Dortmund,Siegen
12,Dortmund,Essen
13,Erfurt,Chemnitz
14,Stutt...,Ulm
15,Frank...,Koblenz
16,Kiel,Hamburg
17,Nuern...,Muenchen
18,Wesel,Norden
19,Stutt...,Konstanz
20,Kassel,Fulda
21,Muenchen,Kempten
22,Flens...,Kiel
23,Fulda,Frank...
24,Karls...,Kaise...
25,Braun...,Magde...
26,Koblenz,Trier
27,Dortmund,Muenster
28,Essen,Wesel
29,Wesel,Aachen
30,Kassel,Erfurt
31,Wuerz...,Augsburg
32,Schwerin,Berlin
33,Braun...,Kassel
34,Erfurt,Dresden
35,Braun...,Hannover
36,Stutt...,Karls...
37,Wuerz...,Stutt...
38,Koblenz,Koeln
39,Kassel,Dortmund
40,Karls...,Mannheim
41,Wuerz...,Nuern...
42,Hamburg,Braun...
43,Hannover,Osnab...
44,Schwerin,Greif...
45,Nuern...,Bayreuth
46,Olden...,Osnab...
47,Hamburg,Schwerin
48,Karls...,Freiburg
