,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Fulda,Kassel
3,Olden...,Norden
4,Fulda,Wuerz...
5,Erfurt,Leipzig
6,Braun...,Hamburg
7,Nuern...,Regen...
8,Bremen,Olden...
9,Dortmund,Essen
10,Erfurt,Chemnitz
11,Stutt...,Ulm
12,Hannover,Bremen
13,Kiel,Flens...
14,Nuern...,Muenchen
15,Stutt...,Konstanz
16,Muenchen,Kempten
17,Konstanz,Freiburg
18,Braun...,Magde...
19,Dortmund,Muenster
20,Kassel,Erfurt
21,Wuerz...,Augsburg
22,Schwerin,Berlin
23,Erfurt,Dresden
24,Braun...,Hannover
25,Wuerz...,Stutt...
26,Kassel,Braun...
27,Kassel,Dortmund
28,Wuerz...,Nuern...
29,Hannover,Osnab...
30,Frank...,Fulda
31,Schwerin,Greif...
32,Nuern...,Bayreuth
33,Hamburg,Schwerin
34,Bremen,Breme...
35,Hamburg,Kiel
