,0,1
0,Bayreuth,Chemnitz
1,Bayreuth,Leipzig
2,Fulda,Kassel
3,Olden...,Norden
4,Fulda,Wuerz...
5,Braun...,Hamburg
6,Karls...,Saarb...
7,Nuern...,Regen...
8,Stutt...,Ulm
9,Hannover,Bremen
10,Kiel,Flens...
11,Stutt...,Konstanz
12,Osnab...,Olden...
13,Chemnitz,Dresden
14,Konstanz,Freiburg
15,Regen...,Passau
16,Schwerin,Berlin
17,Braun...,Hannover
18,Stutt...,Karls...
19,Wuerz...,Stutt...
20,Osnab...,Muenster
21,Kassel,Braun...
22,Karls...,Mannheim
23,Wuerz...,Nuern...
24,Hannover,Osnab...
25,Konstanz,Kempten
26,Schwerin,Greif...
27,Nuern...,Bayreuth
28,Hamburg,Schwerin
29,Bremen,Breme...
30,Hamburg,Kiel
