,0,1
0,Braun...,Biele...
1,Olden...,Norden
2,Fulda,Wuerz...
3,Braun...,Hamburg
4,Karls...,Saarb...
5,Nuern...,Regen...
6,Bremen,Olden...
7,Stutt...,Ulm
8,Giessen,Kassel
9,Hannover,Bremen
10,Kiel,Flens...
11,Saarb...,Trier
12,Stutt...,Konstanz
13,Giessen,Fulda
14,Konstanz,Freiburg
15,Braun...,Magde...
16,Wesel,Aachen
17,Regen...,Passau
18,Schwerin,Berlin
19,Braun...,Hannover
20,Stutt...,Karls...
21,Wuerz...,Stutt...
22,Osnab...,Muenster
23,Kassel,Braun...
24,Karls...,Mannheim
25,Wuerz...,Nuern...
26,Hannover,Osnab...
27,Konstanz,Kempten
28,Schwerin,Greif...
29,Nuern...,Bayreuth
30,Hamburg,Schwerin
31,Mannheim,Darms...
32,Bremen,Breme...
33,Olden...,Wesel
34,Hamburg,Kiel
