,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Greif...,Berlin
3,Kassel,Giessen
4,Karls...,Saarb...
5,Nuern...,Regen...
6,Frank...,Darms...
7,Dortmund,Essen
8,Erfurt,Chemnitz
9,Stutt...,Ulm
10,Erfurt,Wuerz...
11,Saarb...,Trier
12,Nuern...,Muenchen
13,Wesel,Norden
14,Stutt...,Konstanz
15,Kassel,Fulda
16,Berlin,Magde...
17,Duess...,Koeln
18,Muenchen,Kempten
19,Karls...,Kaise...
20,Dortmund,Muenster
21,Essen,Wesel
22,Wesel,Aachen
23,Erfurt,Kassel
24,Leipzig,Dresden
25,Wuerz...,Augsburg
26,Leipzig,Bayreuth
27,Stutt...,Karls...
28,Wuerz...,Stutt...
29,Kassel,Braun...
30,Kassel,Dortmund
31,Karls...,Mannheim
32,Berlin,Leipzig
33,Wuerz...,Nuern...
34,Leipzig,Erfurt
35,Giessen,Frank...
36,Karls...,Freiburg
