,0,1
0,Muenchen,Passau
1,Essen,Duess...
2,Erfurt,Leipzig
3,Kassel,Giessen
4,Karls...,Saarb...
5,Dortmund,Siegen
6,Dortmund,Essen
7,Erfurt,Chemnitz
8,Stutt...,Ulm
9,Erfurt,Wuerz...
10,Saarb...,Trier
11,Wesel,Norden
12,Hannover,Braun...
13,Muenchen,Kempten
14,Berlin,Greif...
15,Dortmund,Muenster
16,Essen,Wesel
17,Wesel,Aachen
18,Kassel,Erfurt
19,Wuerz...,Augsburg
20,Braun...,Kassel
21,Erfurt,Dresden
22,Stutt...,Karls...
23,Wuerz...,Stutt...
24,Kassel,Dortmund
25,Karls...,Mannheim
26,Augsburg,Muenchen
27,Karls...,Freiburg
28,Leipzig,Berlin
