,0,1
0,Fulda,Kassel
1,Olden...,Norden
2,Siegen,Biele...
3,Fulda,Wuerz...
4,Siegen,Dortmund
5,Koblenz,Frank...
6,Biele...,Hannover
7,Nuern...,Regen...
8,Bremen,Olden...
9,Dortmund,Essen
10,Erfurt,Chemnitz
11,Hannover,Bremen
12,Hannover,Hamburg
13,Koblenz,Siegen
14,Dresden,Leipzig
15,Koblenz,Trier
16,Kaise...,Koblenz
17,Biele...,Muenster
18,Regen...,Passau
19,Breme...,Flens...
20,Schwerin,Berlin
21,Erfurt,Dresden
22,Wuerz...,Nuern...
23,Hannover,Osnab...
24,Frank...,Fulda
25,Schwerin,Greif...
26,Wuerz...,Erfurt
27,Nuern...,Bayreuth
28,Hamburg,Schwerin
29,Bremen,Breme...
30,Olden...,Wesel
31,Hamburg,Kiel
