,0,1
0,Muenchen,Passau
1,Fulda,Kassel
2,Siegen,Biele...
3,Erfurt,Leipzig
4,Siegen,Dortmund
5,Magde...,Schwerin
6,Karls...,Saarb...
7,Koblenz,Frank...
8,Biele...,Hannover
9,Nuern...,Regen...
10,Bremen,Olden...
11,Siegen,Giessen
12,Dortmund,Essen
13,Stutt...,Ulm
14,Hannover,Bremen
15,Karls...,Stutt...
16,Muenchen,Regen...
17,Stutt...,Wuerz...
18,Nuern...,Muenchen
19,Wesel,Norden
20,Stutt...,Konstanz
21,Hannover,Hamburg
22,Koblenz,Siegen
23,Aachen,Trier
24,Flens...,Kiel
25,Karls...,Kaise...
26,Kaise...,Koblenz
27,Koeln,Duess...
28,Biele...,Muenster
29,Aachen,Wesel
30,Leipzig,Bayreuth
31,Breme...,Flens...
32,Erfurt,Dresden
33,Bayreuth,Nuern...
34,Kaise...,Darms...
35,Koblenz,Koeln
36,Koeln,Aachen
37,Karls...,Mannheim
38,Hamburg,Braun...
39,Greif...,Schwerin
40,Hannover,Osnab...
41,Konstanz,Kempten
42,Frank...,Fulda
43,Schwerin,Greif...
44,Wuerz...,Erfurt
45,Karls...,Freiburg
46,Bremen,Breme...
47,Dresden,Chemnitz
