,0,1
0,Muenchen,Passau
1,Braun...,Biele...
2,Fulda,Wuerz...
3,Braun...,Hamburg
4,Frank...,Darms...
5,Trier,Saarb...
6,Kiel,Flens...
7,Muenchen,Regen...
8,Frank...,Koblenz
9,Stutt...,Konstanz
10,Kassel,Fulda
11,Fulda,Frank...
12,Konstanz,Freiburg
13,Koblenz,Trier
14,Flens...,Breme...
15,Wuerz...,Augsburg
16,Schwerin,Berlin
17,Wuerz...,Stutt...
18,Kassel,Braun...
19,Koblenz,Koeln
20,Koeln,Aachen
21,Konstanz,Kempten
22,Augsburg,Muenchen
23,Schwerin,Greif...
24,Darms...,Mannheim
25,Hamburg,Schwerin
26,Darms...,Kaise...
27,Hamburg,Kiel
