,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Fulda,Wuerz...
3,Nuern...,Regen...
4,Frank...,Darms...
5,Dortmund,Essen
6,Stutt...,Ulm
7,Hannover,Bremen
8,Frank...,Koblenz
9,Kiel,Hamburg
10,Wesel,Olden...
11,Koblenz,Kaise...
12,Wesel,Norden
13,Stutt...,Konstanz
14,Koblenz,Siegen
15,Kassel,Fulda
16,Fulda,Frank...
17,Konstanz,Freiburg
18,Koblenz,Trier
19,Dortmund,Muenster
20,Essen,Wesel
21,Wesel,Aachen
22,Fulda,Giessen
23,Regen...,Passau
24,Hamburg,Hannover
25,Braun...,Kassel
26,Kaise...,Saarb...
27,Wuerz...,Stutt...
28,Koblenz,Koeln
29,Kassel,Dortmund
30,Wuerz...,Nuern...
31,Hamburg,Braun...
32,Hannover,Osnab...
33,Konstanz,Kempten
34,Darms...,Mannheim
35,Bremen,Breme...
