,0,1
0,Essen,Duess...
1,Bayreuth,Chemnitz
2,Fulda,Kassel
3,Fulda,Wuerz...
4,Braun...,Hamburg
5,Muenster,Osnab...
6,Koblenz,Frank...
7,Nuern...,Regen...
8,Frank...,Darms...
9,Dortmund,Essen
10,Stutt...,Ulm
11,Kiel,Flens...
12,Wesel,Norden
13,Stutt...,Konstanz
14,Magde...,Berlin
15,Berlin,Greif...
16,Frank...,Giessen
17,Konstanz,Freiburg
18,Braun...,Magde...
19,Dortmund,Muenster
20,Essen,Wesel
21,Regen...,Passau
22,Leipzig,Dresden
23,Wuerz...,Stutt...
24,Kassel,Braun...
25,Kassel,Dortmund
26,Wuerz...,Nuern...
27,Konstanz,Kempten
28,Frank...,Fulda
29,Darms...,Mannheim
30,Nuern...,Bayreuth
31,Magde...,Leipzig
32,Hamburg,Kiel
