,0,1
0,Muenchen,Passau
1,Fulda,Kassel
2,Schwerin,Magde...
3,Olden...,Norden
4,Siegen,Biele...
5,Fulda,Wuerz...
6,Erfurt,Leipzig
7,Siegen,Dortmund
8,Karls...,Saarb...
9,Koblenz,Frank...
10,Biele...,Hannover
11,Frank...,Darms...
12,Bremen,Olden...
13,Dortmund,Essen
14,Erfurt,Chemnitz
15,Stutt...,Ulm
16,Hannover,Bremen
17,Kiel,Flens...
18,Muenchen,Regen...
19,Saarb...,Trier
20,Nuern...,Muenchen
21,Koblenz,Kaise...
22,Stutt...,Konstanz
23,Hannover,Hamburg
24,Koblenz,Siegen
25,Hannover,Braun...
26,Muenchen,Kempten
27,Frank...,Giessen
28,Biele...,Muenster
29,Wuerz...,Augsburg
30,Koeln,Koblenz
31,Schwerin,Berlin
32,Erfurt,Dresden
33,Braun...,Hannover
34,Stutt...,Karls...
35,Wuerz...,Stutt...
36,Karls...,Mannheim
37,Wuerz...,Nuern...
38,Hannover,Osnab...
39,Frank...,Fulda
40,Schwerin,Greif...
41,Wuerz...,Erfurt
42,Nuern...,Bayreuth
43,Hamburg,Schwerin
44,Karls...,Freiburg
45,Bremen,Breme...
46,Hamburg,Kiel
