,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Erfurt,Leipzig
3,Kassel,Giessen
4,Braun...,Hamburg
5,Nuern...,Regen...
6,Frank...,Darms...
7,Bremen,Olden...
8,Dortmund,Siegen
9,Dortmund,Essen
10,Erfurt,Chemnitz
11,Stutt...,Ulm
12,Hannover,Bremen
13,Kiel,Flens...
14,Stutt...,Wuerz...
15,Frank...,Koblenz
16,Wesel,Norden
17,Kassel,Fulda
18,Aachen,Trier
19,Duess...,Koeln
20,Konstanz,Stutt...
21,Braun...,Magde...
22,Dortmund,Muenster
23,Essen,Wesel
24,Wesel,Aachen
25,Erfurt,Kassel
26,Regen...,Passau
27,Wuerz...,Augsburg
28,Schwerin,Berlin
29,Erfurt,Dresden
30,Braun...,Hannover
31,Kassel,Braun...
32,Kassel,Dortmund
33,Wuerz...,Nuern...
34,Hannover,Osnab...
35,Schwerin,Greif...
36,Giessen,Frank...
37,Wuerz...,Erfurt
38,Nuern...,Bayreuth
39,Hamburg,Schwerin
40,Bremen,Breme...
41,Hamburg,Kiel
