,0,1
0,Essen,Duess...
1,Fulda,Wuerz...
2,Kassel,Giessen
3,Braun...,Hamburg
4,Nuern...,Regen...
5,Frank...,Darms...
6,Dortmund,Essen
7,Kiel,Flens...
8,Wesel,Olden...
9,Wesel,Norden
10,Stutt...,Konstanz
11,Magde...,Berlin
12,Kassel,Fulda
13,Aachen,Trier
14,Duess...,Koeln
15,Fulda,Frank...
16,Konstanz,Freiburg
17,Essen,Wesel
18,Wesel,Aachen
19,Flens...,Breme...
20,Regen...,Passau
21,Braun...,Kassel
22,Kaise...,Saarb...
23,Magde...,Braun...
24,Wuerz...,Stutt...
25,Kassel,Dortmund
26,Wuerz...,Nuern...
27,Konstanz,Kempten
28,Darms...,Mannheim
29,Darms...,Kaise...
30,Hamburg,Kiel
