,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Fulda,Kassel
3,Wuerz...,Fulda
4,Erfurt,Leipzig
5,Braun...,Hamburg
6,Karls...,Saarb...
7,Frank...,Darms...
8,Bremen,Olden...
9,Dortmund,Siegen
10,Dortmund,Essen
11,Erfurt,Chemnitz
12,Augsburg,Ulm
13,Hannover,Bremen
14,Kiel,Flens...
15,Frank...,Koblenz
16,Koblenz,Kaise...
17,Wesel,Norden
18,Stutt...,Konstanz
19,Fulda,Frank...
20,Frank...,Giessen
21,Braun...,Magde...
22,Koblenz,Trier
23,Dortmund,Muenster
24,Essen,Wesel
25,Wesel,Aachen
26,Muenchen,Augsburg
27,Augsburg,Wuerz...
28,Leipzig,Bayreuth
29,Schwerin,Berlin
30,Erfurt,Dresden
31,Braun...,Hannover
32,Stutt...,Karls...
33,Wuerz...,Stutt...
34,Kassel,Braun...
35,Koblenz,Koeln
36,Kassel,Dortmund
37,Karls...,Mannheim
38,Hannover,Osnab...
39,Schwerin,Greif...
40,Wuerz...,Erfurt
41,Hamburg,Schwerin
42,Karls...,Freiburg
43,Bremen,Breme...
44,Hamburg,Kiel
