,0,1
0,Muenchen,Passau
1,Schwerin,Kiel
2,Schwerin,Magde...
3,Erfurt,Leipzig
4,Karls...,Saarb...
5,Norden,Wesel
6,Dortmund,Siegen
7,Erfurt,Chemnitz
8,Erfurt,Wuerz...
9,Augsburg,Ulm
10,Essen,Dortmund
11,Kiel,Flens...
12,Muenchen,Regen...
13,Saarb...,Trier
14,Stutt...,Konstanz
15,Aachen,Koeln
16,Muenchen,Kempten
17,Berlin,Greif...
18,Karls...,Kaise...
19,Dortmund,Kassel
20,Wesel,Aachen
21,Kaise...,Koblenz
22,Wesel,Essen
23,Kassel,Erfurt
24,Wuerz...,Augsburg
25,Leipzig,Bayreuth
26,Erfurt,Dresden
27,Stutt...,Karls...
28,Wuerz...,Stutt...
29,Karls...,Mannheim
30,Berlin,Schwerin
31,Augsburg,Muenchen
32,Mannheim,Darms...
33,Karls...,Freiburg
34,Leipzig,Berlin
