,0,1
0,Bayreuth,Chemnitz
1,Olden...,Norden
2,Fulda,Wuerz...
3,Nuern...,Regen...
4,Frank...,Darms...
5,Kiel,Flens...
6,Frank...,Koblenz
7,Koblenz,Kaise...
8,Stutt...,Konstanz
9,Hannover,Hamburg
10,Hannover,Braun...
11,Kassel,Fulda
12,Hannover,Biele...
13,Fulda,Frank...
14,Chemnitz,Dresden
15,Frank...,Giessen
16,Konstanz,Freiburg
17,Olden...,Bremen
18,Koblenz,Trier
19,Bremen,Hannover
20,Koeln,Duess...
21,Regen...,Passau
22,Braun...,Kassel
23,Kaise...,Saarb...
24,Wuerz...,Stutt...
25,Koblenz,Koeln
26,Wuerz...,Nuern...
27,Konstanz,Kempten
28,Schwerin,Greif...
29,Darms...,Mannheim
30,Nuern...,Bayreuth
31,Hamburg,Schwerin
32,Hamburg,Kiel
