,0,1
0,Braun...,Biele...
1,Fulda,Wuerz...
2,Kassel,Giessen
3,Braun...,Hamburg
4,Nuern...,Regen...
5,Frank...,Darms...
6,Trier,Saarb...
7,Kiel,Flens...
8,Frank...,Koblenz
9,Koblenz,Kaise...
10,Stutt...,Konstanz
11,Koblenz,Siegen
12,Hannover,Braun...
13,Kassel,Fulda
14,Trier,Aachen
15,Fulda,Frank...
16,Konstanz,Freiburg
17,Braun...,Magde...
18,Koblenz,Trier
19,Flens...,Breme...
20,Koeln,Duess...
21,Regen...,Passau
22,Schwerin,Berlin
23,Braun...,Kassel
24,Wuerz...,Stutt...
25,Koblenz,Koeln
26,Osnab...,Hannover
27,Wuerz...,Nuern...
28,Konstanz,Kempten
29,Schwerin,Greif...
30,Darms...,Mannheim
31,Nuern...,Bayreuth
32,Hamburg,Schwerin
33,Hamburg,Kiel
