,0,1
0,Nuern...,Wuerz...
1,Essen,Duess...
2,Braun...,Biele...
3,Fulda,Kassel
4,Wuerz...,Fulda
5,Schwerin,Magde...
6,Erfurt,Leipzig
7,Braun...,Hamburg
8,Regen...,Nuern...
9,Karls...,Saarb...
10,Frank...,Darms...
11,Bremen,Olden...
12,Dortmund,Siegen
13,Dortmund,Essen
14,Erfurt,Chemnitz
15,Stutt...,Ulm
16,Giessen,Kassel
17,Hannover,Bremen
18,Kiel,Flens...
19,Frank...,Koblenz
20,Wesel,Norden
21,Stutt...,Konstanz
22,Muenchen,Nuern...
23,Muenchen,Kempten
24,Fulda,Frank...
25,Karls...,Kaise...
26,Frank...,Giessen
27,Koblenz,Trier
28,Dortmund,Muenster
29,Essen,Wesel
30,Wesel,Aachen
31,Passau,Muenchen
32,Fulda,Giessen
33,Wuerz...,Augsburg
34,Schwerin,Berlin
35,Passau,Regen...
36,Erfurt,Dresden
37,Braun...,Hannover
38,Stutt...,Karls...
39,Wuerz...,Stutt...
40,Kassel,Braun...
41,Koblenz,Koeln
42,Kassel,Dortmund
43,Karls...,Mannheim
44,Hannover,Osnab...
45,Schwerin,Greif...
46,Wuerz...,Erfurt
47,Nuern...,Bayreuth
48,Hamburg,Schwerin
49,Karls...,Freiburg
50,Bremen,Breme...
51,Hamburg,Kiel
