,0,1
0,Nuern...,Wuerz...
1,Essen,Duess...
2,Braun...,Biele...
3,Fulda,Kassel
4,Wuerz...,Fulda
5,Schwerin,Magde...
6,Erfurt,Leipzig
7,Braun...,Hamburg
8,Regen...,Nuern...
9,Karls...,Saarb...
10,Frank...,Darms...
11,Dortmund,Essen
12,Erfurt,Chemnitz
13,Stutt...,Ulm
14,Trier,Saarb...
15,Hannover,Bremen
16,Kiel,Flens...
17,Frank...,Koblenz
18,Wesel,Olden...
19,Wesel,Norden
20,Stutt...,Konstanz
21,Koblenz,Siegen
22,Saarb...,Karls...
23,Fulda,Frank...
24,Karls...,Kaise...
25,Koblenz,Trier
26,Dortmund,Muenster
27,Essen,Wesel
28,Wesel,Aachen
29,Fulda,Giessen
30,Kassel,Erfurt
31,Wuerz...,Augsburg
32,Schwerin,Berlin
33,Erfurt,Dresden
34,Braun...,Hannover
35,Stutt...,Karls...
36,Wuerz...,Stutt...
37,Kassel,Braun...
38,Koblenz,Koeln
39,Kassel,Dortmund
40,Karls...,Mannheim
41,Hannover,Osnab...
42,Konstanz,Kempten
43,Schwerin,Greif...
44,Nuern...,Bayreuth
45,Hamburg,Schwerin
46,Karls...,Freiburg
47,Bremen,Breme...
48,Hamburg,Kiel
