,0,1
0,Muenchen,Passau
1,Bayreuth,Chemnitz
2,Bayreuth,Leipzig
3,Fulda,Kassel
4,Siegen,Biele...
5,Fulda,Wuerz...
6,Braun...,Hamburg
7,Siegen,Dortmund
8,Muenster,Osnab...
9,Koblenz,Frank...
10,Frank...,Darms...
11,Kiel,Flens...
12,Muenchen,Regen...
13,Nuern...,Muenchen
14,Koblenz,Siegen
15,Biele...,Braun...
16,Trier,Koblenz
17,Muenchen,Kempten
18,Braun...,Magde...
19,Koeln,Duess...
20,Biele...,Muenster
21,Schwerin,Berlin
22,Koblenz,Koeln
23,Wuerz...,Nuern...
24,Frank...,Fulda
25,Schwerin,Greif...
26,Nuern...,Bayreuth
27,Hamburg,Schwerin
28,Berlin,Dresden
29,Hamburg,Kiel
