,0,1
0,Essen,Duess...
1,Braun...,Biele...
2,Giessen,Siegen
3,Erfurt,Leipzig
4,Kassel,Giessen
5,Braun...,Hamburg
6,Nuern...,Regen...
7,Frank...,Darms...
8,Dortmund,Essen
9,Erfurt,Chemnitz
10,Hannover,Bremen
11,Kiel,Flens...
12,Stutt...,Wuerz...
13,Frank...,Koblenz
14,Wesel,Olden...
15,Wesel,Norden
16,Kassel,Fulda
17,Aachen,Trier
18,Duess...,Koeln
19,Fulda,Frank...
20,Braun...,Magde...
21,Dortmund,Muenster
22,Essen,Wesel
23,Wesel,Aachen
24,Erfurt,Kassel
25,Regen...,Passau
26,Schwerin,Berlin
27,Erfurt,Dresden
28,Braun...,Hannover
29,Kassel,Braun...
30,Kassel,Dortmund
31,Wuerz...,Nuern...
32,Hannover,Osnab...
33,Schwerin,Greif...
34,Giessen,Frank...
35,Wuerz...,Erfurt
36,Nuern...,Bayreuth
37,Hamburg,Schwerin
38,Bremen,Breme...
39,Ulm,Stutt...
40,Hamburg,Kiel
