,0,1
0,Aachen,Koeln
1,Augsburg,Ulm
2,Augsburg,Muenchen
3,Leipzig,Bayreuth
4,Bayreuth,Chemnitz
5,Biele...,Muenster
6,Siegen,Biele...
7,Braun...,Magde...
8,Biele...,Braun...
9,Frank...,Darms...
10,Berlin,Dresden
11,Kiel,Flens...
12,Koblenz,Frank...
13,Fulda,Kassel
14,Frank...,Fulda
15,Fulda,Giessen
16,Schwerin,Greif...
17,Schwerin,Hamburg
18,Koblenz,Kaise...
19,Muenchen,Kempten
20,Schwerin,Kiel
21,Koeln,Koblenz
22,Koeln,Duess...
23,Magde...,Berlin
24,Magde...,Leipzig
25,Magde...,Schwerin
26,Muenster,Osnab...
27,Muenchen,Passau
28,Muenchen,Regen...
29,Regen...,Passau
30,Siegen,Dortmund
31,Koblenz,Siegen
32,Fulda,Wuerz...
33,Wuerz...,Augsburg
