,0,1
0,Augsburg,Ulm
1,Augsburg,Muenchen
2,Erfurt,Chemnitz
3,Frank...,Darms...
4,Dortmund,Essen
5,Berlin,Dresden
6,Essen,Duess...
7,Dresden,Erfurt
8,Karls...,Freiburg
9,Fulda,Frank...
10,Fulda,Giessen
11,Berlin,Greif...
12,Karls...,Mannheim
13,Karls...,Kaise...
14,Karls...,Saarb...
15,Stutt...,Karls...
16,Kassel,Dortmund
17,Erfurt,Kassel
18,Muenchen,Kempten
19,Duess...,Koeln
20,Dortmund,Muenster
21,Wesel,Norden
22,Muenchen,Passau
23,Saarb...,Trier
24,Essen,Wesel
25,Wesel,Aachen
26,Erfurt,Wuerz...
27,Wuerz...,Fulda
28,Wuerz...,Stutt...
29,Wuerz...,Augsburg
