,0,1
0,Koeln,Aachen
1,Nuern...,Bayreuth
2,Biele...,Muenster
3,Biele...,Siegen
4,Erfurt,Chemnitz
5,Frank...,Darms...
6,Dresden,Berlin
7,Duess...,Essen
8,Erfurt,Leipzig
9,Erfurt,Dresden
10,Karls...,Freiburg
11,Giessen,Fulda
12,Siegen,Giessen
13,Giessen,Frank...
14,Berlin,Greif...
15,Koblenz,Kaise...
16,Karls...,Mannheim
17,Karls...,Saarb...
18,Stutt...,Karls...
19,Kassel,Dortmund
20,Erfurt,Kassel
21,Konstanz,Kempten
22,Muenchen,Kempten
23,Koblenz,Koeln
24,Koeln,Duess...
25,Stutt...,Konstanz
26,Leipzig,Magde...
27,Muenster,Dortmund
28,Nuern...,Muenchen
29,Muenchen,Passau
30,Nuern...,Regen...
31,Siegen,Koblenz
32,Koblenz,Trier
33,Stutt...,Ulm
34,Wesel,Essen
35,Wuerz...,Erfurt
36,Fulda,Wuerz...
37,Wuerz...,Stutt...
38,Wuerz...,Augsburg
39,Wuerz...,Nuern...
