,0,1
0,Nuern...,Bayreuth
1,Erfurt,Chemnitz
2,Dortmund,Essen
3,Dresden,Berlin
4,Essen,Duess...
5,Erfurt,Leipzig
6,Erfurt,Dresden
7,Konstanz,Freiburg
8,Berlin,Greif...
9,Karls...,Mannheim
10,Karls...,Saarb...
11,Stutt...,Karls...
12,Kassel,Dortmund
13,Kassel,Erfurt
14,Braun...,Kassel
15,Konstanz,Kempten
16,Duess...,Koeln
17,Stutt...,Konstanz
18,Dortmund,Muenster
19,Wesel,Norden
20,Regen...,Passau
21,Nuern...,Regen...
22,Saarb...,Kaise...
23,Saarb...,Trier
24,Dortmund,Siegen
25,Stutt...,Ulm
26,Essen,Wesel
27,Wesel,Aachen
28,Erfurt,Wuerz...
29,Wuerz...,Stutt...
30,Nuern...,Wuerz...
31,Wuerz...,Nuern...
