,0,1
0,Aachen,Koeln
1,Muenchen,Augsburg
2,Nuern...,Bayreuth
3,Hannover,Biele...
4,Braun...,Magde...
5,Braun...,Hamburg
6,Braun...,Hannover
7,Bremen,Breme...
8,Erfurt,Chemnitz
9,Darms...,Frank...
10,Dortmund,Essen
11,Essen,Duess...
12,Erfurt,Leipzig
13,Erfurt,Dresden
14,Kiel,Flens...
15,Konstanz,Freiburg
16,Fulda,Kassel
17,Frank...,Fulda
18,Fulda,Giessen
19,Schwerin,Greif...
20,Hamburg,Schwerin
21,Hannover,Bremen
22,Kassel,Dortmund
23,Kassel,Braun...
24,Muenchen,Kempten
25,Hamburg,Kiel
26,Stutt...,Konstanz
27,Dortmund,Muenster
28,Wesel,Norden
29,Nuern...,Muenchen
30,Wesel,Olden...
31,Hannover,Osnab...
32,Muenchen,Passau
33,Nuern...,Regen...
34,Trier,Saarb...
35,Schwerin,Berlin
36,Dortmund,Siegen
37,Aachen,Trier
38,Stutt...,Ulm
39,Essen,Wesel
40,Wesel,Aachen
41,Wuerz...,Erfurt
42,Fulda,Wuerz...
43,Wuerz...,Stutt...
44,Wuerz...,Nuern...
