,0,1
0,Nuern...,Bayreuth
1,Hannover,Biele...
2,Braun...,Magde...
3,Braun...,Hannover
4,Bremen,Breme...
5,Breme...,Flens...
6,Chemnitz,Dresden
7,Erfurt,Chemnitz
8,Berlin,Dresden
9,Erfurt,Leipzig
10,Dresden,Erfurt
11,Erfurt,Dresden
12,Karls...,Freiburg
13,Berlin,Greif...
14,Hannover,Bremen
15,Kaise...,Darms...
16,Karls...,Mannheim
17,Karls...,Kaise...
18,Karls...,Saarb...
19,Stutt...,Karls...
20,Dortmund,Kassel
21,Kassel,Erfurt
22,Kassel,Braun...
23,Konstanz,Kempten
24,Stutt...,Konstanz
25,Magde...,Berlin
26,Olden...,Norden
27,Bremen,Olden...
28,Hannover,Osnab...
29,Regen...,Passau
30,Nuern...,Regen...
31,Saarb...,Trier
32,Stutt...,Ulm
33,Erfurt,Wuerz...
34,Wuerz...,Stutt...
35,Wuerz...,Nuern...
