,0,1
0,Augsburg,Muenchen
1,Braun...,Magde...
2,Braun...,Hannover
3,Bremen,Breme...
4,Breme...,Flens...
5,Dresden,Erfurt
6,Karls...,Freiburg
7,Hannover,Bremen
8,Kaise...,Koblenz
9,Kaise...,Darms...
10,Karls...,Mannheim
11,Karls...,Kaise...
12,Karls...,Saarb...
13,Stutt...,Karls...
14,Erfurt,Kassel
15,Kassel,Braun...
16,Kempten,Konstanz
17,Muenchen,Kempten
18,Koblenz,Koeln
19,Olden...,Norden
20,Bremen,Olden...
21,Hannover,Osnab...
22,Muenchen,Passau
23,Muenchen,Regen...
24,Saarb...,Trier
25,Aachen,Trier
26,Trier,Aachen
27,Stutt...,Ulm
28,Erfurt,Wuerz...
29,Wuerz...,Fulda
30,Wuerz...,Stutt...
31,Wuerz...,Augsburg
