,0,1
0,Nuern...,Bayreuth
1,Braun...,Hamburg
2,Braun...,Hannover
3,Braun...,Biele...
4,Bremen,Breme...
5,Erfurt,Chemnitz
6,Essen,Dortmund
7,Duess...,Essen
8,Erfurt,Leipzig
9,Erfurt,Dresden
10,Kiel,Flens...
11,Konstanz,Freiburg
12,Schwerin,Greif...
13,Hamburg,Schwerin
14,Hannover,Bremen
15,Dortmund,Kassel
16,Kassel,Erfurt
17,Kassel,Braun...
18,Konstanz,Kempten
19,Hamburg,Kiel
20,Stutt...,Konstanz
21,Schwerin,Magde...
22,Dortmund,Muenster
23,Olden...,Norden
24,Bremen,Olden...
25,Hannover,Osnab...
26,Regen...,Passau
27,Nuern...,Regen...
28,Schwerin,Berlin
29,Dortmund,Siegen
30,Erfurt,Wuerz...
31,Wuerz...,Stutt...
32,Wuerz...,Nuern...
