,0,1
0,Nuern...,Bayreuth
1,Hannover,Biele...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Flens...,Breme...
5,Breme...,Flens...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Kiel,Flens...
11,Koblenz,Frank...
12,Karls...,Freiburg
13,Konstanz,Freiburg
14,Fulda,Frank...
15,Kassel,Giessen
16,Schwerin,Greif...
17,Hamburg,Schwerin
18,Hannover,Bremen
19,Karls...,Mannheim
20,Karls...,Kaise...
21,Karls...,Saarb...
22,Stutt...,Karls...
23,Kassel,Dortmund
24,Erfurt,Kassel
25,Kassel,Braun...
26,Kempten,Konstanz
27,Muenchen,Kempten
28,Hamburg,Kiel
29,Koblenz,Koeln
30,Mannheim,Darms...
31,Dortmund,Muenster
32,Wesel,Norden
33,Nuern...,Muenchen
34,Bremen,Olden...
35,Hannover,Osnab...
36,Muenchen,Passau
37,Muenchen,Regen...
38,Dortmund,Siegen
39,Siegen,Koblenz
40,Koblenz,Trier
41,Stutt...,Ulm
42,Essen,Wesel
43,Wesel,Aachen
44,Erfurt,Wuerz...
45,Wuerz...,Fulda
46,Wuerz...,Stutt...
47,Wuerz...,Augsburg
48,Wuerz...,Nuern...
