,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Braun...,Hamburg
3,Braun...,Hannover
4,Braun...,Biele...
5,Bremen,Breme...
6,Flens...,Breme...
7,Erfurt,Chemnitz
8,Frank...,Darms...
9,Essen,Dortmund
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Kiel,Flens...
13,Frank...,Koblenz
14,Karls...,Freiburg
15,Kassel,Fulda
16,Fulda,Frank...
17,Fulda,Giessen
18,Schwerin,Greif...
19,Hamburg,Schwerin
20,Hannover,Bremen
21,Karls...,Mannheim
22,Karls...,Kaise...
23,Karls...,Saarb...
24,Stutt...,Karls...
25,Dortmund,Kassel
26,Kassel,Erfurt
27,Kassel,Braun...
28,Muenchen,Kempten
29,Hamburg,Kiel
30,Koblenz,Koeln
31,Stutt...,Konstanz
32,Schwerin,Magde...
33,Dortmund,Muenster
34,Nuern...,Muenchen
35,Hannover,Osnab...
36,Muenchen,Passau
37,Nuern...,Regen...
38,Schwerin,Berlin
39,Dortmund,Siegen
40,Koblenz,Trier
41,Stutt...,Ulm
42,Fulda,Wuerz...
43,Wuerz...,Stutt...
44,Wuerz...,Nuern...
